Micros,Voltage,Pack SoC,DCL,Failsafe,DTC1,DTC2,Temperature High,PC,Torque,RPM,Motor_temp,Controller_temp,time_interval,input_power,output_power,speed,motor_efficiency,E_remaining,E_per_km
88470075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
88989078,57.3,94.0,176,0,0,0,28,0.1,0.0,2,32,32,0.519003,0.00573,0.0,0.014440878,0.0,8.459999999999999,0.396790278264244
89508075,57.3,94.0,176,0,0,0,28,0.1,0.0,2,32,32,0.518997,0.00573,0.0,0.014440878,0.0,8.459999999999999,0.396790278264244
90027078,57.3,94.0,176,0,0,0,28,0.1,0.0,2,32,32,0.519003,0.00573,0.0,0.014440878,0.0,8.459999999999999,0.396790278264244
90546077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
96778075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
97297078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519003,0.00573,0.0,0.0,0.0,8.459999999999999,
97816075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
98335078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519003,0.00573,0.0,0.0,0.0,8.459999999999999,
98854077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
99373076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
99892075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
100413078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.521003,0.00573,0.0,0.0,0.0,8.459999999999999,
100932075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
101451078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519003,0.00573,0.0,0.0,0.0,8.459999999999999,
101970077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
102489076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
